TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT",Season
New Jersey Nets,82,26,56,48.1,103.8,28.5,67.3,7.9,5.0,16.2,14.1,13.8,37.2,2000
Atlanta Hawks,82,25,57,48.1,102.4,30.4,69.1,7.7,4.7,18.6,13.0,13.1,36.8,2000
Vancouver Grizzlies,82,23,59,48.2,104.2,29.6,67.5,7.1,4.4,18.0,14.6,14.4,42.4,2000
Washington Wizards,82,19,63,48.0,106.2,28.9,68.4,7.7,4.7,19.8,13.3,14.5,42.0,2000
Golden State Warriors,82,17,65,48.2,105.5,29.1,68.0,9.0,5.0,18.2,13.7,15.2,44.9,2000
Chicago Bulls,82,15,67,48.4,105.9,27.6,67.3,8.2,4.6,17.9,13.5,11.6,40.0,2000
Los Angeles Lakers,82,67,15,48.3,96.4,33.4,70.5,7.5,6.5,14.3,13.2,12.4,34.8,1999
Portland Trail Blazers,82,59,23,48.2,99.5,31.2,69.3,7.7,4.8,15.2,13.9,12.3,35.0,1999
Indiana Pacers,82,56,26,48.1,101.7,31.9,69.1,6.8,5.1,15.0,13.5,14.6,42.0,1999
Utah Jazz,82,55,27,48.2,101.1,29.6,69.8,7.7,5.4,15.7,12.3,10.3,32.6,1999
Phoenix Suns,82,53,29,48.3,97.3,31.2,67.6,9.1,5.3,17.4,14.1,12.0,36.0,1999
San Antonio Spurs,82,53,29,48.4,97.1,32.5,70.3,7.5,6.7,15.5,13.3,11.8,35.3,1999
Miami Heat,82,52,30,48.4,99.4,31.9,69.6,7.1,6.4,16.0,12.7,11.7,34.1,1999
Minnesota Timberwolves,82,50,32,48.5,101.7,30.1,69.6,7.6,5.4,14.8,13.2,13.3,38.5,1999
New York Knicks,82,50,32,48.4,99.5,30.7,69.9,6.3,4.3,15.9,12.4,10.5,31.8,1999
Charlotte Hornets,82,49,33,48.2,99.7,32.1,71.2,8.9,5.9,15.9,13.4,14.0,39.8,1999
Philadelphia 76ers,82,49,33,48.4,98.3,30.1,68.0,9.6,4.7,15.1,12.7,12.7,37.2,1999
Seattle SuperSonics,82,45,37,48.2,103.1,30.3,67.3,8.0,4.2,14.8,15.0,13.2,40.3,1999
Toronto Raptors,82,45,37,48.2,102.8,29.9,68.6,8.1,6.6,14.9,13.4,18.1,40.0,1999
Sacramento Kings,82,44,38,48.3,100.7,32.1,67.9,9.6,4.6,18.3,14.2,17.0,42.2,1999
Detroit Pistons,82,42,40,48.4,103.8,30.0,69.4,8.1,3.3,17.4,14.3,12.7,37.0,1999
Milwaukee Bucks,82,42,40,48.4,106.2,28.9,66.7,8.2,4.6,16.8,14.3,14.2,37.0,1999
Orlando Magic,82,41,41,48.2,100.3,31.0,66.9,9.1,5.7,18.3,14.5,14.6,39.8,1999
Dallas Mavericks,82,40,42,48.1,105.2,29.8,64.7,7.2,5.1,15.5,16.8,15.2,42.9,1999
Boston Celtics,82,35,47,48.1,103.9,29.5,70.5,9.7,3.5,16.8,12.5,13.8,39.1,1999
Denver Nuggets,82,35,47,48.4,104.5,31.6,68.8,6.8,7.5,17.8,14.2,15.2,42.2,1999
Houston Rockets,82,34,48,48.4,104.2,31.5,69.1,7.5,5.3,19.0,14.3,14.5,42.3,1999
Cleveland Cavaliers,82,32,50,48.4,102.2,30.5,68.5,8.7,4.4,19.5,14.5,13.2,37.7,1999
New Jersey Nets,82,31,51,48.4,103.9,28.2,65.7,8.8,4.8,14.8,15.3,15.6,43.0,1999
Washington Wizards,82,29,53,48.3,105.2,29.7,68.6,7.2,4.7,17.7,13.1,14.5,39.6,1999
Atlanta Hawks,82,28,54,48.4,105.8,31.3,69.8,6.1,5.6,17.7,13.8,17.0,42.1,1999
Vancouver Grizzlies,82,22,60,48.4,106.7,28.3,67.9,7.4,4.2,19.0,13.9,16.5,43.7,1999
Golden State Warriors,82,19,63,48.2,106.5,29.7,67.3,8.9,4.3,16.7,15.4,15.3,43.5,1999
Chicago Bulls,82,17,65,48.3,102.8,28.3,67.6,7.9,4.7,21.0,12.9,13.4,39.1,1999
Los Angeles Clippers,82,15,67,48.1,108.0,29.0,67.4,7.0,6.0,18.7,15.0,15.6,48.8,1999
San Antonio Spurs,50,37,13,48.3,93.6,31.7,67.4,8.4,7.0,16.2,13.9,11.5,34.6,1998
Utah Jazz,50,37,13,48.7,96.7,30.2,67.7,8.0,5.5,16.9,13.0,9.8,34.8,1998
Portland Trail Blazers,50,35,15,48.7,96.2,31.4,68.7,8.2,5.8,15.0,12.9,10.5,35.0,1998
Indiana Pacers,50,33,17,48.4,102.2,29.0,67.1,6.3,4.5,13.9,12.5,13.2,34.0,1998
Miami Heat,50,33,17,48.1,97.1,30.2,68.3,6.5,6.1,16.5,12.8,9.0,31.7,1998
Orlando Magic,50,33,17,48.2,96.3,28.9,68.5,9.9,4.3,17.3,12.3,13.9,39.2,1998
Atlanta Hawks,50,31,19,48.3,95.3,30.0,70.1,6.9,5.2,15.0,11.7,10.6,31.7,1998
Houston Rockets,50,31,19,48.3,101.0,30.8,67.8,7.7,5.2,17.3,13.8,12.4,37.6,1998
Los Angeles Lakers,50,31,19,48.2,102.8,29.6,67.1,7.8,5.7,16.8,14.7,13.0,38.5,1998
Detroit Pistons,50,29,21,48.2,98.4,28.2,69.7,8.9,4.2,16.0,12.0,10.5,31.1,1998
Milwaukee Bucks,50,28,22,48.2,101.2,27.4,64.8,8.8,4.0,15.5,14.7,11.4,33.4,1998
Philadelphia 76ers,50,28,22,48.6,95.5,28.6,67.9,10.8,5.4,16.9,12.3,11.8,33.0,1998
New York Knicks,50,27,23,48.4,95.9,30.2,67.1,7.9,5.2,16.0,12.5,8.1,28.5,1998
Phoenix Suns,50,27,23,48.2,101.6,28.4,67.1,8.9,4.0,15.0,15.6,12.3,38.0,1998
Sacramento Kings,50,27,23,48.8,101.6,31.5,65.4,8.9,4.6,17.9,16.1,13.3,45.8,1998
Charlotte Hornets,50,26,24,48.6,100.4,29.9,67.8,8.9,4.9,18.3,13.8,13.8,37.7,1998
Minnesota Timberwolves,50,25,25,48.1,99.4,27.8,67.3,8.5,5.4,14.1,13.0,12.8,36.1,1998
Seattle SuperSonics,50,25,25,48.4,104.2,28.4,67.3,7.9,4.0,16.2,14.5,12.9,42.0,1998
Toronto Raptors,50,23,27,48.3,101.8,28.9,67.5,8.8,6.4,18.1,12.5,16.4,33.8,1998
Cleveland Cavaliers,50,22,28,48.2,100.1,26.3,65.6,9.0,4.1,17.0,13.8,11.4,35.7,1998
Golden State Warriors,50,21,29,48.5,98.9,31.2,69.0,8.3,4.4,16.3,13.4,10.4,38.6,1998
Boston Celtics,50,19,31,48.6,100.8,29.2,66.6,9.1,5.1,18.2,14.8,14.5,42.4,1998
Dallas Mavericks,50,19,31,48.3,103.0,29.6,67.3,7.0,5.8,15.7,13.4,13.2,39.2,1998
Washington Wizards,50,18,32,48.2,102.1,28.1,67.3,7.9,3.9,16.2,12.5,13.2,36.9,1998
New Jersey Nets,50,16,34,48.2,101.2,28.7,68.2,9.8,5.5,16.1,13.0,12.4,42.5,1998
Denver Nuggets,50,14,36,48.1,108.6,27.8,66.0,7.5,5.5,16.2,13.6,13.0,44.4,1998
Chicago Bulls,50,13,37,48.3,101.7,27.9,68.4,8.7,3.4,17.7,12.0,12.6,38.5,1998
Los Angeles Clippers,50,9,41,48.5,107.8,25.9,64.6,8.5,4.7,17.5,14.9,15.5,46.6,1998
Vancouver Grizzlies,50,8,42,48.7,106.3,27.2,64.5,8.4,4.0,19.3,15.1,17.6,43.6,1998
Chicago Bulls,82,62,20,48.4,98.4,29.7,67.6,8.5,4.3,15.0,13.6,12.3,37.4,1997
Utah Jazz,82,62,20,48.2,103.8,29.3,68.4,7.9,5.0,17.0,13.6,10.1,35.3,1997
Los Angeles Lakers,82,61,21,48.4,102.3,30.1,65.6,9.0,6.8,17.5,15.6,13.3,40.4,1997
Seattle SuperSonics,82,61,21,48.2,102.3,27.1,63.5,9.8,4.6,15.5,15.4,13.0,38.9,1997
Indiana Pacers,82,58,24,48.4,99.5,28.6,65.7,7.9,4.5,14.5,14.3,12.2,37.2,1997
Phoenix Suns,82,56,26,48.7,100.6,29.9,66.4,9.2,5.2,16.3,14.5,11.8,39.8,1997
San Antonio Spurs,82,56,26,48.4,98.0,32.2,69.6,6.3,6.9,16.6,13.5,10.6,33.7,1997
Miami Heat,82,55,27,48.2,100.5,29.5,66.9,8.1,5.2,16.4,14.5,10.8,36.8,1997
Charlotte Hornets,82,51,31,48.2,103.3,28.5,69.1,8.4,3.8,17.1,13.8,13.0,40.9,1997
Atlanta Hawks,82,50,32,48.5,102.5,29.5,66.9,7.9,6.0,16.4,14.0,13.3,38.2,1997
Cleveland Cavaliers,82,47,35,48.4,97.5,28.4,67.8,9.9,5.1,18.6,12.8,13.2,36.4,1997
Portland Trail Blazers,82,46,36,48.4,100.8,30.8,68.5,7.1,5.7,17.5,12.3,13.4,36.2,1997
Minnesota Timberwolves,82,45,37,48.6,105.5,29.6,65.7,7.8,5.2,16.4,16.3,14.0,42.2,1997
New Jersey Nets,82,43,39,48.5,104.3,26.1,65.0,9.5,3.8,16.0,15.2,13.6,44.8,1997
New York Knicks,82,43,39,48.4,98.8,29.7,70.3,7.7,3.4,15.3,12.2,9.3,32.4,1997
Washington Wizards,82,42,40,48.3,103.2,28.5,67.3,8.4,4.6,15.4,14.3,13.7,42.8,1997
Houston Rockets,82,41,41,48.4,106.8,28.7,67.2,8.4,3.6,17.6,15.6,13.9,41.5,1997
Orlando Magic,82,41,41,48.4,102.2,26.9,64.6,7.9,5.4,16.8,14.5,14.8,41.0,1997
Detroit Pistons,82,37,45,48.7,101.8,28.5,66.8,8.3,4.2,15.6,14.2,11.0,34.3,1997
Boston Celtics,82,36,46,48.1,103.5,24.9,64.2,12.0,4.5,17.7,14.4,15.2,46.8,1997
Milwaukee Bucks,82,36,46,48.6,103.7,27.3,66.4,8.9,4.4,18.9,13.6,16.8,43.1,1997
Philadelphia 76ers,82,31,51,48.2,103.3,28.0,66.0,8.9,6.0,18.5,14.6,14.6,37.9,1997
Sacramento Kings,82,27,55,48.1,105.0,28.1,64.3,7.3,5.1,17.5,15.1,15.7,44.4,1997
Dallas Mavericks,82,20,62,48.5,105.2,27.8,63.2,7.9,5.7,16.6,16.4,15.9,44.0,1997
Golden State Warriors,82,19,63,48.4,103.5,30.2,66.4,7.6,5.5,18.5,15.3,13.8,41.0,1997
Vancouver Grizzlies,82,19,63,48.4,110.2,28.2,65.2,7.5,4.3,19.6,15.2,17.9,43.0,1997
Los Angeles Clippers,82,17,65,48.2,109.6,27.8,63.8,7.6,5.6,18.7,16.4,14.7,47.9,1997
Toronto Raptors,82,16,66,48.6,108.9,26.2,60.2,9.4,8.1,19.3,18.0,22.5,48.4,1997
Denver Nuggets,82,11,71,48.1,110.6,26.3,63.9,8.1,4.8,18.9,15.2,12.8,40.8,1997
Chicago Bulls,82,69,13,48.1,100.7,30.0,67.0,8.7,4.0,14.2,14.4,10.5,38.5,1996
Utah Jazz,82,64,18,48.4,102.6,29.4,68.7,9.1,5.1,16.3,13.0,8.0,34.7,1996
Miami Heat,82,61,21,48.3,99.2,29.3,67.8,7.9,5.4,17.1,12.9,9.4,37.7,1996
Houston Rockets,82,57,25,48.4,102.8,31.3,69.2,8.4,4.2,18.2,14.2,12.7,39.7,1996
New York Knicks,82,57,25,48.4,99.5,30.7,70.0,7.7,4.6,18.4,12.5,8.9,33.8,1996
Seattle SuperSonics,82,57,25,48.2,101.0,27.7,65.7,11.0,4.7,16.3,14.6,10.8,34.3,1996
Atlanta Hawks,82,56,26,48.3,100.3,28.7,67.0,8.5,5.2,16.1,14.4,11.3,36.6,1996
Los Angeles Lakers,82,56,26,48.6,102.3,29.4,65.8,9.0,7.0,16.1,14.9,13.6,40.5,1996
Charlotte Hornets,82,54,28,48.3,107.1,28.0,66.1,7.3,4.3,16.3,16.1,11.1,42.6,1996
Detroit Pistons,82,54,28,48.4,102.6,28.0,67.5,7.7,3.5,14.0,13.2,9.5,32.2,1996
Portland Trail Blazers,82,49,33,48.4,102.1,30.4,69.1,7.8,5.3,18.2,12.7,12.4,38.9,1996
Orlando Magic,82,45,37,48.4,104.2,27.1,65.1,8.5,4.4,17.7,14.3,16.4,43.4,1996
Washington Bullets,82,44,38,48.4,103.7,29.5,67.6,8.7,4.9,17.2,13.5,12.6,39.9,1996
Cleveland Cavaliers,82,42,40,48.4,100.8,26.3,68.1,8.0,3.8,15.7,11.3,8.8,33.2,1996
Minnesota Timberwolves,82,40,42,48.2,105.5,28.1,64.9,7.5,6.8,16.9,14.5,13.0,42.2,1996
Phoenix Suns,82,40,42,48.4,107.1,29.0,66.3,8.1,3.9,16.2,15.6,11.6,43.3,1996
Indiana Pacers,82,39,43,48.6,102.9,29.1,66.8,7.1,4.8,18.3,13.4,13.2,35.0,1996
Los Angeles Clippers,82,36,46,48.6,106.2,27.3,65.4,8.9,5.4,18.2,14.0,12.7,44.3,1996
Sacramento Kings,82,34,48,48.3,107.0,28.1,66.1,7.2,4.4,18.7,13.9,13.7,41.6,1996
Milwaukee Bucks,82,33,49,48.1,106.7,27.6,66.9,7.7,4.2,18.5,13.4,17.0,44.4,1996
Golden State Warriors,82,30,52,48.5,110.3,27.5,64.8,7.5,4.4,20.7,15.2,12.2,43.4,1996
Toronto Raptors,82,30,52,48.4,106.4,27.5,65.7,8.8,6.3,18.8,14.8,17.7,43.2,1996
New Jersey Nets,82,26,56,48.2,107.2,29.0,66.9,8.3,5.9,17.7,14.3,14.9,43.3,1996
Dallas Mavericks,82,24,58,48.3,106.0,27.6,65.0,8.0,4.3,17.5,13.7,14.6,39.1,1996
Philadelphia 76ers,82,22,60,48.2,109.5,28.7,65.4,8.3,4.8,20.6,16.5,16.5,48.1,1996
Denver Nuggets,82,21,61,48.6,109.7,29.9,66.6,6.1,5.9,19.3,15.6,13.4,45.4,1996
San Antonio Spurs,82,20,62,48.1,110.8,26.0,64.3,7.9,5.3,17.3,15.0,12.9,40.8,1996
Boston Celtics,82,15,67,48.5,110.1,26.7,65.8,9.9,3.8,19.0,14.6,15.9,52.7,1996
Vancouver Grizzlies,82,14,68,48.2,110.1,26.3,61.8,8.0,5.7,18.1,16.0,14.4,46.2,1996
